contig_id,frag_id,pad_char,pad_len,real_len,pred_class,reliability,prob_bacteria,prob_phage,prob_eukarya,prob_archaea,prob_plasmid,prob_virus
NC_139368.1,NC_139368.1__none__0,none,0,2000,virus,0.9998496770858765,0.010492,0.020143,0.024039,0.013169,0.012007,0.920150
NC_139368.1,NC_139368.1__M__500,M,500,1500,eukarya,0.9994035959243774,0.023237,0.070887,0.508559,0.052696,0.027376,0.317246
NC_139368.1,NC_139368.1__M__450,M,450,1550,eukarya,0.9994091987609863,0.022262,0.059901,0.595535,0.052220,0.025946,0.244136
NC_139368.1,NC_139368.1__M__400,M,400,1600,virus,0.9995161294937134,0.023624,0.064548,0.361531,0.048959,0.028322,0.473017
NC_139368.1,NC_139368.1__M__350,M,350,1650,virus,0.9996292591094971,0.023267,0.046667,0.417824,0.032796,0.026661,0.452785
NC_139368.1,NC_139368.1__M__300,M,300,1700,virus,0.9996877908706665,0.022293,0.048161,0.349335,0.032376,0.026818,0.521016
NC_139368.1,NC_139368.1__M__250,M,250,1750,virus,0.9996659755706787,0.019838,0.052148,0.203917,0.028352,0.023195,0.672550
NC_139368.1,NC_139368.1__M__200,M,200,1800,virus,0.9997411370277405,0.018181,0.034331,0.127442,0.023801,0.020969,0.775275
NC_139368.1,NC_139368.1__M__150,M,150,1850,virus,0.9997084736824036,0.020335,0.054180,0.203650,0.027145,0.021164,0.673525
NC_139368.1,NC_139368.1__M__100,M,100,1900,virus,0.9998201727867126,0.012138,0.022746,0.036774,0.015301,0.013086,0.899954
NC_139368.1,NC_139368.1__M__50,M,50,1950,virus,0.9998575448989868,0.012395,0.022337,0.038216,0.016896,0.013695,0.896461
NC_139368.1,NC_139368.1__M__1,M,1,1999,virus,0.9998500347137451,0.010488,0.020116,0.024005,0.013157,0.012002,0.920232
NC_139181.1,NC_139181.1__none__0,none,0,2000,phage,0.9946932196617126,0.021283,0.912282,0.014161,0.016014,0.019502,0.016759
NC_139181.1,NC_139181.1__M__500,M,500,1500,phage,0.9675328135490417,0.040215,0.882563,0.015731,0.019828,0.021750,0.019913
NC_139181.1,NC_139181.1__M__450,M,450,1550,phage,0.9698155522346497,0.038989,0.884608,0.014587,0.018732,0.023653,0.019431
NC_139181.1,NC_139181.1__M__400,M,400,1600,phage,0.9757158756256104,0.042089,0.887613,0.014451,0.017972,0.019752,0.018124
NC_139181.1,NC_139181.1__M__350,M,350,1650,phage,0.9873024225234985,0.044795,0.884802,0.013365,0.017001,0.022325,0.017712
NC_139181.1,NC_139181.1__M__300,M,300,1700,phage,0.9904754757881165,0.030879,0.897659,0.015489,0.017386,0.020483,0.018104
NC_139181.1,NC_139181.1__M__250,M,250,1750,phage,0.988324761390686,0.026796,0.903199,0.014858,0.016538,0.020994,0.017615
NC_139181.1,NC_139181.1__M__200,M,200,1800,phage,0.9918670058250427,0.025128,0.906140,0.014221,0.015809,0.021915,0.016788
NC_139181.1,NC_139181.1__M__150,M,150,1850,phage,0.9913553595542908,0.025606,0.905418,0.014230,0.016299,0.021548,0.016900
NC_139181.1,NC_139181.1__M__100,M,100,1900,phage,0.9923075437545776,0.024111,0.909859,0.013561,0.016039,0.019697,0.016734
NC_139181.1,NC_139181.1__M__50,M,50,1950,phage,0.9944161176681519,0.020789,0.912785,0.014219,0.016186,0.018966,0.017054
NC_139181.1,NC_139181.1__M__1,M,1,1999,phage,0.9947029948234558,0.021273,0.912273,0.014164,0.016017,0.019512,0.016762
NC_138481.1,NC_138481.1__none__0,none,0,2000,eukarya,0.9993276596069336,0.016259,0.014471,0.927509,0.014334,0.011569,0.015859
NC_138481.1,NC_138481.1__M__500,M,500,1500,eukarya,0.9994522929191589,0.016649,0.013152,0.930988,0.013284,0.010665,0.015262
NC_138481.1,NC_138481.1__M__450,M,450,1550,eukarya,0.99907386302948,0.015362,0.012890,0.933840,0.012506,0.010989,0.014414
NC_138481.1,NC_138481.1__M__400,M,400,1600,eukarya,0.9992314577102661,0.018175,0.013233,0.930779,0.012882,0.009941,0.014991
NC_138481.1,NC_138481.1__M__350,M,350,1650,eukarya,0.9993799924850464,0.015222,0.014365,0.928519,0.013957,0.012794,0.015142
NC_138481.1,NC_138481.1__M__300,M,300,1700,eukarya,0.9991814494132996,0.015604,0.015787,0.922824,0.015473,0.014155,0.016157
NC_138481.1,NC_138481.1__M__250,M,250,1750,eukarya,0.9991814494132996,0.016169,0.016065,0.922458,0.015521,0.013775,0.016012
NC_138481.1,NC_138481.1__M__200,M,200,1800,eukarya,0.9992762207984924,0.018086,0.015220,0.922998,0.015581,0.011553,0.016561
NC_138481.1,NC_138481.1__M__150,M,150,1850,eukarya,0.9991198182106018,0.017126,0.015250,0.922859,0.015804,0.012450,0.016513
NC_138481.1,NC_138481.1__M__100,M,100,1900,eukarya,0.9990435242652893,0.018987,0.015684,0.921745,0.015476,0.011401,0.016707
NC_138481.1,NC_138481.1__M__50,M,50,1950,eukarya,0.9992190599441528,0.017546,0.014944,0.924797,0.015003,0.011625,0.016084
NC_138481.1,NC_138481.1__M__1,M,1,1999,eukarya,0.9993263483047485,0.016265,0.014474,0.927496,0.014338,0.011568,0.015859
NC_137529.1,NC_137529.1__none__0,none,0,2000,phage,0.9969333410263062,0.130033,0.738954,0.020624,0.021921,0.066823,0.021644
NC_137529.1,NC_137529.1__M__500,M,500,1500,bacteria,0.8427221775054932,0.395937,0.267904,0.026502,0.030038,0.250525,0.029094
NC_137529.1,NC_137529.1__M__450,M,450,1550,phage,0.8941344022750854,0.304451,0.330873,0.026022,0.029655,0.280289,0.028710
NC_137529.1,NC_137529.1__M__400,M,400,1600,bacteria,0.8722724318504333,0.400150,0.301005,0.026295,0.029718,0.213756,0.029076
NC_137529.1,NC_137529.1__M__350,M,350,1650,phage,0.9393534064292908,0.109658,0.703930,0.018829,0.023240,0.122109,0.022234
NC_137529.1,NC_137529.1__M__300,M,300,1700,phage,0.9666112065315247,0.203089,0.487500,0.022950,0.026036,0.235910,0.024516
NC_137529.1,NC_137529.1__M__250,M,250,1750,phage,0.972939133644104,0.204457,0.499433,0.023912,0.026886,0.220462,0.024849
NC_137529.1,NC_137529.1__M__200,M,200,1800,phage,0.9863946437835693,0.262165,0.503687,0.025750,0.027419,0.155837,0.025141
NC_137529.1,NC_137529.1__M__150,M,150,1850,bacteria,0.9865477681159973,0.380624,0.317416,0.028363,0.029905,0.216257,0.027435
NC_137529.1,NC_137529.1__M__100,M,100,1900,bacteria,0.9920170307159424,0.503741,0.302513,0.025764,0.028668,0.114066,0.025248
NC_137529.1,NC_137529.1__M__50,M,50,1950,phage,0.9962934851646423,0.246552,0.600049,0.023111,0.025581,0.081286,0.023421
NC_137529.1,NC_137529.1__M__1,M,1,1999,phage,0.9969308972358704,0.130340,0.738699,0.020631,0.021935,0.066738,0.021657
NC_117365.1,NC_117365.1__none__0,none,0,2000,virus,0.9997894167900085,0.010539,0.015577,0.017714,0.012970,0.013306,0.929894
NC_117365.1,NC_117365.1__M__500,M,500,1500,virus,0.9996654987335205,0.009127,0.013372,0.015600,0.010298,0.008871,0.942731
