contig_id,pad_len,pred_class,reliability
NC_115668.1,0,eukarya,0.996691
NC_115668.1,100,bacteria,0.995427
NC_115668.1,200,bacteria,0.999004
NC_115668.1,500,bacteria,0.999273
NC_115918.1,0,virus,0.999920
NC_115918.1,100,phage,0.999950
NC_115918.1,200,bacteria,0.999970
NC_115918.1,500,bacteria,0.999967
NC_138368.1,0,phage,0.991352
NC_138368.1,100,plasmid,0.993865
NC_138368.1,200,plasmid,0.997632
NC_138368.1,500,bacteria,0.997098
NC_118823.1,0,virus,0.998247
NC_118823.1,100,virus,0.994561
NC_118823.1,200,virus,0.998941
NC_118823.1,500,virus,0.997460
NC_077934.1,0,virus,0.999835
NC_077934.1,100,virus,0.999820
NC_077934.1,200,bacteria,0.999892
NC_077934.1,500,bacteria,0.999778
NC_077758.1,0,eukarya,0.999974
NC_077758.1,100,plasmid,0.999942
NC_077758.1,200,bacteria,0.999981
NC_077758.1,500,bacteria,0.999987
NC_078109.1,0,archaea,0.999340
NC_078109.1,100,archaea,0.999529
NC_078109.1,200,archaea,0.999672
NC_078109.1,500,archaea,0.999318
NC_078233.1,0,virus,0.999922
NC_078233.1,100,virus,0.999922
NC_078233.1,200,virus,0.999970
NC_078233.1,500,bacteria,0.999953
NC_078271.1,0,virus,0.999719
NC_078271.1,100,virus,0.999399
NC_078271.1,200,virus,0.999666
NC_078271.1,500,virus,0.999268
NC_078394.1,0,virus,0.998740
NC_078394.1,100,virus,0.998773
NC_078394.1,200,eukarya,0.999665
NC_078394.1,500,eukarya,0.999372
NC_078447.1,0,eukarya,0.999515
NC_078447.1,100,eukarya,0.999830
NC_078447.1,200,virus,0.999877
NC_078447.1,500,bacteria,0.999768
NC_078596.1,0,virus,0.993198
NC_078596.1,100,virus,0.998047
NC_078596.1,200,virus,0.999374
NC_078596.1,500,virus,0.999323
NC_078634.1,0,virus,0.999871
NC_078634.1,100,virus,0.999849
NC_078634.1,200,virus,0.999946
NC_078634.1,500,virus,0.999938
NC_078639.1,0,virus,0.993437
NC_078639.1,100,bacteria,0.989213
NC_078639.1,200,virus,0.996129
