contig_id,frag_id,pad_len,real_len,is_reference,pred_class,reliability,prob_bacteria,prob_phage,prob_eukarya,prob_archaea,prob_plasmid,prob_virus
NC_135604.1,NC_135604.1__M__595,595,1405,1,bacteria,0.9999853372573853,0.798079,0.096548,0.021447,0.029514,0.023311,0.031101
NC_135604.1,NC_135604.1__M__645,645,1355,0,bacteria,0.9999809265136719,0.777563,0.089841,0.023704,0.031309,0.022716,0.054867
NC_135604.1,NC_135604.1__M__695,695,1305,0,bacteria,0.999982476234436,0.766682,0.117216,0.025888,0.030767,0.020779,0.038669
NC_135604.1,NC_135604.1__M__745,745,1255,0,bacteria,0.9999837875366211,0.802920,0.101437,0.023935,0.027686,0.019692,0.024331
NC_135604.1,NC_135604.1__M__795,795,1205,0,bacteria,0.9999773502349854,0.740033,0.158901,0.023998,0.028705,0.022509,0.025853
NC_135604.1,NC_135604.1__M__845,845,1155,0,bacteria,0.9999810457229614,0.729931,0.163013,0.024809,0.028872,0.023059,0.030316
NC_135604.1,NC_135604.1__M__895,895,1105,0,bacteria,0.9999814033508301,0.743341,0.142170,0.022682,0.027744,0.024457,0.039606
NC_135604.1,NC_135604.1__M__945,945,1055,0,bacteria,0.9999731779098511,0.845939,0.064503,0.018666,0.022963,0.020971,0.026957
NC_135604.1,NC_135604.1__M__995,995,1005,0,bacteria,0.9999589920043945,0.889152,0.039820,0.015196,0.019760,0.016735,0.019337
NC_135605.1,NC_135605.1__M__726,726,1274,1,bacteria,0.9998522996902466,0.654001,0.058774,0.031920,0.036597,0.076789,0.141918
NC_135605.1,NC_135605.1__M__776,776,1224,0,bacteria,0.9999396800994873,0.549808,0.044605,0.028933,0.036882,0.053279,0.286493
NC_135605.1,NC_135605.1__M__826,826,1174,0,bacteria,0.9999030828475952,0.517208,0.038618,0.026072,0.035869,0.047961,0.334271
NC_135605.1,NC_135605.1__M__876,876,1124,0,bacteria,0.9999544620513916,0.793882,0.031729,0.016402,0.024865,0.053406,0.079717
NC_135605.1,NC_135605.1__M__926,926,1074,0,bacteria,0.9999463558197021,0.860875,0.027228,0.011435,0.019038,0.051209,0.030214
NC_135605.1,NC_135605.1__M__976,976,1024,0,bacteria,0.9999563694000244,0.879063,0.025324,0.011303,0.018250,0.041788,0.024271
NC_135606.1,NC_135606.1__M__948,948,1052,1,virus,0.9986139535903931,0.057782,0.020504,0.033186,0.022426,0.010405,0.855698
NC_135606.1,NC_135606.1__M__998,998,1002,0,virus,0.9992154836654663,0.102861,0.036072,0.042035,0.043678,0.016314,0.759040
NC_135607.1,NC_135607.1__M__963,963,1037,1,bacteria,0.9999790191650391,0.651483,0.132459,0.029784,0.047490,0.034709,0.104075
NC_118824.1,NC_118824.1__M__20,20,1980,1,virus,0.9984344840049744,0.010807,0.012057,0.011862,0.010840,0.011680,0.942754
NC_118824.1,NC_118824.1__M__70,70,1930,0,virus,0.9970765113830566,0.010777,0.013078,0.012696,0.011022,0.012919,0.939507
NC_118824.1,NC_118824.1__M__120,120,1880,0,virus,0.995893120765686,0.010907,0.012856,0.011614,0.011659,0.014005,0.938959
NC_118824.1,NC_118824.1__M__170,170,1830,0,virus,0.9955050349235535,0.010436,0.013292,0.012095,0.011680,0.013639,0.938859
NC_118824.1,NC_118824.1__M__220,220,1780,0,virus,0.9974418878555298,0.011850,0.015236,0.013385,0.011890,0.014498,0.933141
NC_118824.1,NC_118824.1__M__270,270,1730,0,virus,0.9971567392349243,0.012654,0.013402,0.011096,0.011206,0.014849,0.936793
NC_118824.1,NC_118824.1__M__320,320,1680,0,virus,0.9973065853118896,0.014310,0.015210,0.010928,0.012152,0.013327,0.934073
NC_118824.1,NC_118824.1__M__370,370,1630,0,virus,0.9980306029319763,0.016812,0.012510,0.010793,0.012670,0.011994,0.935221
NC_118824.1,NC_118824.1__M__420,420,1580,0,virus,0.9977694749832153,0.015642,0.011981,0.010327,0.012165,0.012430,0.937455
NC_118824.1,NC_118824.1__M__470,470,1530,0,virus,0.9977918863296509,0.020259,0.013104,0.012067,0.013543,0.011612,0.929414
NC_118824.1,NC_118824.1__M__520,520,1480,0,virus,0.9971542358398438,0.033289,0.017141,0.021777,0.018237,0.009327,0.900229
NC_118824.1,NC_118824.1__M__570,570,1430,0,virus,0.9966989159584045,0.044217,0.016676,0.026644,0.020415,0.007490,0.884559
NC_118824.1,NC_118824.1__M__620,620,1380,0,virus,0.9954784512519836,0.064225,0.018391,0.033083,0.022742,0.007461,0.854097
NC_118824.1,NC_118824.1__M__670,670,1330,0,virus,0.9946879148483276,0.050361,0.017947,0.029789,0.021348,0.007952,0.872603
NC_118824.1,NC_118824.1__M__720,720,1280,0,virus,0.9957610964775085,0.033113,0.015114,0.020178,0.016997,0.009624,0.904973
NC_118824.1,NC_118824.1__M__770,770,1230,0,virus,0.9973771572113037,0.025848,0.015411,0.020090,0.015162,0.008947,0.914542
NC_118824.1,NC_118824.1__M__820,820,1180,0,virus,0.9986696243286133,0.034057,0.022612,0.024937,0.020805,0.011207,0.886383
NC_118824.1,NC_118824.1__M__870,870,1130,0,virus,0.9986912608146667,0.054210,0.023220,0.030472,0.024026,0.010114,0.857958
NC_118824.1,NC_118824.1__M__920,920,1080,0,virus,0.9980722665786743,0.043124,0.019194,0.028340,0.019974,0.008382,0.880985
NC_118824.1,NC_118824.1__M__970,970,1030,0,virus,0.9971200227737427,0.036697,0.018040,0.024440,0.017651,0.009052,0.894120
NC_135470.1,NC_135470.1__M__709,709,1291,1,virus,0.9906511306762695,0.122638,0.061763,0.030755,0.030946,0.024243,0.729654
NC_135470.1,NC_135470.1__M__759,759,1241,0,virus,0.9914547204971313,0.214677,0.061406,0.036128,0.043834,0.026621,0.617334
NC_135470.1,NC_135470.1__M__809,809,1191,0,virus,0.9826213717460632,0.067832,0.029243,0.026339,0.024763,0.016127,0.835695
NC_135470.1,NC_135470.1__M__859,859,1141,0,virus,0.9879015684127808,0.079817,0.035178,0.028882,0.029209,0.018870,0.808045
NC_135470.1,NC_135470.1__M__909,909,1091,0,virus,0.981873095035553,0.060051,0.038821,0.027510,0.026474,0.020752,0.826393
NC_135470.1,NC_135470.1__M__959,959,1041,0,virus,0.9896883964538574,0.072326,0.032868,0.028218,0.025463,0.017449,0.823677
NC_135471.1,NC_135471.1__M__670,670,1330,1,bacteria,0.9986674785614014,0.710032,0.094048,0.021316,0.038024,0.038195,0.098385
NC_135471.1,NC_135471.1__M__720,720,1280,0,bacteria,0.9987950325012207,0.834834,0.061936,0.017526,0.029009,0.024452,0.032244
NC_135471.1,NC_135471.1__M__770,770,1230,0,bacteria,0.9995617270469666,0.836676,0.045626,0.017166,0.028350,0.021899,0.050283
NC_135471.1,NC_135471.1__M__820,820,1180,0,bacteria,0.9996721744537354,0.836567,0.048519,0.017966,0.025955,0.026802,0.044191
NC_135471.1,NC_135471.1__M__870,870,1130,0,bacteria,0.9998206496238708,0.892741,0.033559,0.014457,0.020094,0.018415,0.020734
NC_135471.1,NC_135471.1__M__920,920,1080,0,bacteria,0.9998801946640015,0.901552,0.024156,0.012553,0.019417,0.018845,0.023478
NC_135471.1,NC_135471.1__M__970,970,1030,0,bacteria,0.9998144507408142,0.865830,0.029055,0.014208,0.024117,0.021724,0.045066
NC_135472.1,NC_135472.1__M__621,621,1379,1,bacteria,0.9997358918190002,0.483874,0.103819,0.057803,0.218227,0.026471,0.109805
NC_135472.1,NC_135472.1__M__671,671,1329,0,bacteria,0.9999018907546997,0.749340,0.078252,0.034538,0.077153,0.024943,0.035775
NC_135472.1,NC_135472.1__M__721,721,1279,0,bacteria,0.9998937845230103,0.499503,0.095296,0.047543,0.271383,0.028985,0.057289
NC_135472.1,NC_135472.1__M__771,771,1229,0,bacteria,0.9998971223831177,0.483398,0.077067,0.044497,0.323088,0.025919,0.046032
NC_135472.1,NC_135472.1__M__821,821,1179,0,archaea,0.9998812675476074,0.219808,0.060700,0.035964,0.624548,0.022582,0.036399
NC_135472.1,NC_135472.1__M__871,871,1129,0,bacteria,0.9999284744262695,0.425396,0.069046,0.043497,0.394822,0.025841,0.041397
NC_135472.1,NC_135472.1__M__921,921,1079,0,bacteria,0.9999362230300903,0.531111,0.061657,0.038691,0.305412,0.024227,0.038903
NC_135472.1,NC_135472.1__M__971,971,1029,0,bacteria,0.9999409914016724,0.670919,0.070931,0.038102,0.155845,0.025622,0.038582
NC_135474.1,NC_135474.1__M__953,953,1047,1,bacteria,0.9999053478240967,0.791243,0.092087,0.024534,0.035107,0.027369,0.029661
NC_086346.1,NC_086346.1__M__137,137,1863,1,virus,0.9992714524269104,0.090503,0.048076,0.048096,0.044432,0.015186,0.753707
NC_086346.1,NC_086346.1__M__187,187,1813,0,virus,0.9992808699607849,0.271949,0.075242,0.067549,0.056378,0.019820,0.509061
NC_086346.1,NC_086346.1__M__237,237,1763,0,virus,0.9992817044258118,0.240453,0.061690,0.061428,0.049169,0.017536,0.569724
NC_086346.1,NC_086346.1__M__287,287,1713,0,virus,0.9990590214729309,0.346705,0.045285,0.048352,0.048216,0.017397,0.494045
NC_086346.1,NC_086346.1__M__337,337,1663,0,bacteria,0.9992117881774902,0.659985,0.038607,0.033288,0.038428,0.019000,0.210692
NC_086346.1,NC_086346.1__M__387,387,1613,0,virus,0.9994502663612366,0.343724,0.047131,0.048755,0.042329,0.018593,0.499469
NC_086346.1,NC_086346.1__M__437,437,1563,0,bacteria,0.9994826316833496,0.458240,0.044989,0.049230,0.048539,0.017503,0.381498
NC_086346.1,NC_086346.1__M__487,487,1513,0,bacteria,0.9995717406272888,0.627932,0.043586,0.042578,0.049963,0.017551,0.218389
NC_086346.1,NC_086346.1__M__537,537,1463,0,bacteria,0.9995934367179871,0.821976,0.030787,0.021311,0.036855,0.016937,0.072134
NC_086346.1,NC_086346.1__M__587,587,1413,0,bacteria,0.9995400905609131,0.864874,0.027401,0.018316,0.032789,0.014171,0.042448
NC_086346.1,NC_086346.1__M__637,637,1363,0,bacteria,0.999503493309021,0.814015,0.035305,0.025017,0.043292,0.017779,0.064592
NC_086346.1,NC_086346.1__M__687,687,1313,0,bacteria,0.999678373336792,0.527629,0.056465,0.045383,0.162884,0.023330,0.184309
NC_086346.1,NC_086346.1__M__737,737,1263,0,bacteria,0.9994662404060364,0.562307,0.050403,0.045157,0.097395,0.017809,0.226929
NC_086346.1,NC_086346.1__M__787,787,1213,0,bacteria,0.9993684887886047,0.669394,0.047947,0.031354,0.067458,0.018886,0.164960
NC_086346.1,NC_086346.1__M__837,837,1163,0,bacteria,0.9993290901184082,0.662635,0.044656,0.029920,0.079151,0.016671,0.166966
NC_086346.1,NC_086346.1__M__887,887,1113,0,bacteria,0.9995436072349548,0.611350,0.057153,0.038225,0.129089,0.016960,0.147223
NC_086346.1,NC_086346.1__M__937,937,1063,0,bacteria,0.9996228218078613,0.647301,0.049434,0.038633,0.070187,0.015734,0.178711
NC_086346.1,NC_086346.1__M__987,987,1013,0,bacteria,0.9996289014816284,0.593478,0.069702,0.041982,0.154555,0.021498,0.118785
NC_077925.1,NC_077925.1__M__997,997,1003,1,virus,0.9976938366889954,0.356423,0.044817,0.090602,0.055036,0.017865,0.435258
NC_077930.1,NC_077930.1__M__906,906,1094,1,bacteria,0.9848766326904297,0.651300,0.050301,0.054521,0.046816,0.029875,0.167187
NC_077930.1,NC_077930.1__M__956,956,1044,0,bacteria,0.989316463470459,0.761971,0.040971,0.029980,0.032261,0.024409,0.110408
NC_077942.1,NC_077942.1__M__927,927,1073,1,bacteria,0.9999680519104004,0.935632,0.016541,0.008112,0.012821,0.017608,0.009285
NC_077942.1,NC_077942.1__M__977,977,1023,0,bacteria,0.9999735355377197,0.933508,0.018373,0.009247,0.013522,0.015431,0.009918
NC_077948.1,NC_077948.1__M__981,981,1019,1,bacteria,0.9997696280479431,0.904138,0.029059,0.014742,0.019564,0.018276,0.014220
NC_077975.1,NC_077975.1__M__918,918,1082,1,eukarya,0.9976739287376404,0.200494,0.043619,0.600309,0.035283,0.014283,0.106013
NC_077975.1,NC_077975.1__M__968,968,1032,0,eukarya,0.9985210299491882,0.361710,0.044226,0.447437,0.036452,0.016194,0.093981
NC_077980.1,NC_077980.1__M__997,997,1003,1,bacteria,0.9995342493057251,0.830724,0.061969,0.020464,0.030314,0.035575,0.020955
NC_077982.1,NC_077982.1__M__966,966,1034,1,bacteria,0.997990608215332,0.611530,0.039438,0.057063,0.035727,0.019671,0.236572
NC_078143.1,NC_078143.1__M__392,392,1608,1,bacteria,0.9999222755432129,0.419731,0.082931,0.060917,0.072224,0.027142,0.337054
NC_078143.1,NC_078143.1__M__442,442,1558,0,bacteria,0.9998873472213745,0.434669,0.066523,0.052912,0.065355,0.025950,0.354591
NC_078143.1,NC_078143.1__M__492,492,1508,0,virus,0.999737560749054,0.142109,0.038769,0.045187,0.041108,0.014247,0.718580
NC_078143.1,NC_078143.1__M__542,542,1458,0,virus,0.9997817873954773,0.173184,0.046689,0.051790,0.048950,0.015796,0.663590
NC_078143.1,NC_078143.1__M__592,592,1408,0,virus,0.9998171925544739,0.291163,0.102040,0.058119,0.165741,0.029504,0.353433
NC_078143.1,NC_078143.1__M__642,642,1358,0,bacteria,0.9997654557228088,0.452856,0.084432,0.062723,0.108225,0.028765,0.262999
NC_078143.1,NC_078143.1__M__692,692,1308,0,bacteria,0.9998156428337097,0.614088,0.076066,0.044838,0.121061,0.030096,0.113851
NC_078143.1,NC_078143.1__M__742,742,1258,0,bacteria,0.9997941851615906,0.774657,0.053346,0.031403,0.057184,0.023350,0.060059
NC_078143.1,NC_078143.1__M__792,792,1208,0,bacteria,0.9998916387557983,0.878943,0.029495,0.015884,0.029802,0.020398,0.025479
NC_078143.1,NC_078143.1__M__842,842,1158,0,bacteria,0.9999381303787231,0.778857,0.038263,0.027615,0.069100,0.020928,0.065237
NC_078143.1,NC_078143.1__M__892,892,1108,0,bacteria,0.9999608993530273,0.734030,0.041801,0.024719,0.126660,0.025087,0.047702
NC_078143.1,NC_078143.1__M__942,942,1058,0,bacteria,0.9999747276306152,0.600279,0.051670,0.029447,0.245735,0.028043,0.044826
NC_078143.1,NC_078143.1__M__992,992,1008,0,bacteria,0.999962568283081,0.789515,0.035673,0.021496,0.100681,0.023396,0.029239
NC_078322.1,NC_078322.1__M__548,548,1452,1,bacteria,0.9998283386230469,0.418187,0.128138,0.065062,0.072952,0.035457,0.280204
