contig_id,frag_id,pad_char,pad_len,real_len,pred_class,reliability,prob_bacteria,prob_phage,prob_eukarya,prob_archaea,prob_plasmid,prob_virus
NC_139368.1,NC_139368.1__none__0,none,0,2000,virus,0.9998496770858765,0.010492,0.020140,0.024039,0.013168,0.012007,0.920153
NC_139368.1,NC_139368.1__M__500,M,500,1500,virus,0.9994783997535706,0.036394,0.039627,0.042973,0.027844,0.014883,0.838279
NC_139368.1,NC_139368.1__M__450,M,450,1550,virus,0.9996739625930786,0.033892,0.035131,0.044149,0.033575,0.014804,0.838449
NC_139368.1,NC_139368.1__M__400,M,400,1600,virus,0.9997665286064148,0.040676,0.051360,0.059797,0.030595,0.016973,0.800598
NC_139368.1,NC_139368.1__M__350,M,350,1650,virus,0.9997735619544983,0.056772,0.046771,0.052947,0.031668,0.015482,0.796359
NC_139368.1,NC_139368.1__M__300,M,300,1700,virus,0.9997488856315613,0.033817,0.046985,0.048516,0.027666,0.018571,0.824444
NC_139368.1,NC_139368.1__M__250,M,250,1750,virus,0.9997226595878601,0.039055,0.042171,0.067731,0.030489,0.016142,0.804411
NC_139368.1,NC_139368.1__M__200,M,200,1800,virus,0.9998007416725159,0.022960,0.046215,0.066223,0.026147,0.017986,0.820470
NC_139368.1,NC_139368.1__M__150,M,150,1850,virus,0.9997474551200867,0.016351,0.032452,0.048797,0.020998,0.017318,0.864084
NC_139368.1,NC_139368.1__M__100,M,100,1900,virus,0.9997133612632751,0.016560,0.031550,0.073491,0.023062,0.020514,0.834824
NC_139368.1,NC_139368.1__M__50,M,50,1950,virus,0.9998119473457336,0.012951,0.029484,0.043492,0.018699,0.014760,0.880614
NC_139368.1,NC_139368.1__M__1,M,1,1999,virus,0.9998500347137451,0.010488,0.020115,0.024004,0.013157,0.012002,0.920233
NC_139181.1,NC_139181.1__none__0,none,0,2000,phage,0.9946935772895813,0.021284,0.912272,0.014164,0.016016,0.019503,0.016761
NC_139181.1,NC_139181.1__M__500,M,500,1500,bacteria,0.9932973980903625,0.726472,0.144171,0.029392,0.037702,0.035688,0.026575
NC_139181.1,NC_139181.1__M__450,M,450,1550,bacteria,0.9965507984161377,0.688752,0.156035,0.038044,0.041883,0.039551,0.035736
NC_139181.1,NC_139181.1__M__400,M,400,1600,bacteria,0.9975984692573547,0.650333,0.197168,0.037359,0.041733,0.038988,0.034419
NC_139181.1,NC_139181.1__M__350,M,350,1650,bacteria,0.9967432618141174,0.745381,0.126263,0.029395,0.036129,0.034796,0.028037
NC_139181.1,NC_139181.1__M__300,M,300,1700,bacteria,0.9980199337005615,0.745535,0.113563,0.032939,0.038557,0.036401,0.033005
NC_139181.1,NC_139181.1__M__250,M,250,1750,bacteria,0.9971705079078674,0.835972,0.053960,0.025403,0.029569,0.030611,0.024485
NC_139181.1,NC_139181.1__M__200,M,200,1800,bacteria,0.996625542640686,0.620937,0.217069,0.037038,0.043394,0.043753,0.037809
NC_139181.1,NC_139181.1__M__150,M,150,1850,phage,0.996649444103241,0.192289,0.671960,0.029123,0.036164,0.040842,0.029621
NC_139181.1,NC_139181.1__M__100,M,100,1900,phage,0.9952124357223511,0.071652,0.835325,0.019202,0.022840,0.030469,0.020513
NC_139181.1,NC_139181.1__M__50,M,50,1950,phage,0.9953254461288452,0.028116,0.901776,0.014921,0.016639,0.021383,0.017165
NC_139181.1,NC_139181.1__M__1,M,1,1999,phage,0.9947026371955872,0.021275,0.912273,0.014165,0.016017,0.019509,0.016762
NC_138481.1,NC_138481.1__none__0,none,0,2000,eukarya,0.999327540397644,0.016260,0.014473,0.927502,0.014335,0.011569,0.015861
NC_138481.1,NC_138481.1__M__500,M,500,1500,eukarya,0.9995661377906799,0.233151,0.041914,0.600558,0.043650,0.018553,0.062175
NC_138481.1,NC_138481.1__M__450,M,450,1550,eukarya,0.9993995428085327,0.093494,0.026319,0.809011,0.024692,0.011813,0.034672
NC_138481.1,NC_138481.1__M__400,M,400,1600,eukarya,0.9995738863945007,0.077602,0.026109,0.828824,0.024488,0.012236,0.030741
NC_138481.1,NC_138481.1__M__350,M,350,1650,eukarya,0.9997943043708801,0.082148,0.027626,0.822882,0.026215,0.012177,0.028952
NC_138481.1,NC_138481.1__M__300,M,300,1700,eukarya,0.9995480179786682,0.106285,0.029391,0.792699,0.027037,0.013844,0.030743
NC_138481.1,NC_138481.1__M__250,M,250,1750,eukarya,0.999629020690918,0.074324,0.027726,0.832384,0.025152,0.013119,0.027296
NC_138481.1,NC_138481.1__M__200,M,200,1800,eukarya,0.9996108412742615,0.045610,0.024103,0.872840,0.022978,0.012169,0.022299
NC_138481.1,NC_138481.1__M__150,M,150,1850,eukarya,0.9993588328361511,0.048080,0.023055,0.872359,0.023007,0.011225,0.022275
NC_138481.1,NC_138481.1__M__100,M,100,1900,eukarya,0.9990366697311401,0.032992,0.019707,0.896853,0.019889,0.010736,0.019822
NC_138481.1,NC_138481.1__M__50,M,50,1950,eukarya,0.9988862872123718,0.018905,0.015077,0.923147,0.015386,0.010914,0.016570
NC_138481.1,NC_138481.1__M__1,M,1,1999,eukarya,0.9993265867233276,0.016265,0.014473,0.927496,0.014338,0.011569,0.015859
NC_137529.1,NC_137529.1__none__0,none,0,2000,phage,0.996932864189148,0.129946,0.739086,0.020618,0.021917,0.066792,0.021641
NC_137529.1,NC_137529.1__M__500,M,500,1500,bacteria,0.9811821579933167,0.914267,0.021262,0.014877,0.016405,0.019122,0.014067
NC_137529.1,NC_137529.1__M__450,M,450,1550,bacteria,0.9928923845291138,0.911780,0.019403,0.015562,0.017247,0.022035,0.013972
NC_137529.1,NC_137529.1__M__400,M,400,1600,bacteria,0.9901381731033325,0.912888,0.022387,0.014648,0.016499,0.019601,0.013978
NC_137529.1,NC_137529.1__M__350,M,350,1650,bacteria,0.9919962286949158,0.890923,0.025130,0.016584,0.019081,0.032812,0.015471
NC_137529.1,NC_137529.1__M__300,M,300,1700,bacteria,0.9946988821029663,0.920186,0.018161,0.013667,0.015922,0.018453,0.013612
NC_137529.1,NC_137529.1__M__250,M,250,1750,bacteria,0.9959808588027954,0.910314,0.023608,0.014095,0.016661,0.021990,0.013331
NC_137529.1,NC_137529.1__M__200,M,200,1800,bacteria,0.9962144494056702,0.891787,0.037460,0.015322,0.017991,0.023117,0.014323
NC_137529.1,NC_137529.1__M__150,M,150,1850,bacteria,0.9954304695129395,0.892368,0.034252,0.016363,0.018541,0.023362,0.015115
NC_137529.1,NC_137529.1__M__100,M,100,1900,bacteria,0.9914895296096802,0.863818,0.045730,0.018363,0.019308,0.036169,0.016611
NC_137529.1,NC_137529.1__M__50,M,50,1950,bacteria,0.9957335591316223,0.451470,0.407025,0.023616,0.027839,0.066636,0.023413
NC_137529.1,NC_137529.1__M__1,M,1,1999,phage,0.9969307780265808,0.130293,0.738747,0.020630,0.021934,0.066737,0.021658
NC_117365.1,NC_117365.1__none__0,none,0,2000,virus,0.9997894167900085,0.010538,0.015575,0.017714,0.012969,0.013305,0.929898
NC_117365.1,NC_117365.1__M__500,M,500,1500,virus,0.99952232837677,0.031964,0.017163,0.020635,0.017070,0.012165,0.901004
NC_117365.1,NC_117365.1__M__450,M,450,1550,virus,0.9997370839118958,0.029897,0.017969,0.019559,0.017240,0.013647,0.901688
NC_117365.1,NC_117365.1__M__400,M,400,1600,virus,0.9998227953910828,0.025208,0.016491,0.019021,0.016671,0.013538,0.909071
NC_117365.1,NC_117365.1__M__350,M,350,1650,virus,0.9999004602432251,0.039824,0.016822,0.022523,0.019490,0.014521,0.886819
NC_117365.1,NC_117365.1__M__300,M,300,1700,virus,0.9998549222946167,0.023670,0.015926,0.019806,0.016944,0.013575,0.910079
NC_117365.1,NC_117365.1__M__250,M,250,1750,virus,0.9998676776885986,0.020908,0.016942,0.019439,0.015936,0.013477,0.913299
NC_117365.1,NC_117365.1__M__200,M,200,1800,virus,0.9999250173568726,0.018820,0.015862,0.018523,0.015622,0.012628,0.918545
NC_117365.1,NC_117365.1__M__150,M,150,1850,virus,0.9999058246612549,0.013727,0.014958,0.017180,0.014526,0.012214,0.927395
NC_117365.1,NC_117365.1__M__100,M,100,1900,virus,0.9998289346694946,0.012996,0.016553,0.017542,0.014446,0.012948,0.925516
NC_117365.1,NC_117365.1__M__50,M,50,1950,virus,0.9997695088386536,0.010712,0.015746,0.017627,0.012853,0.012882,0.930180
NC_117365.1,NC_117365.1__M__1,M,1,1999,virus,0.9997888207435608,0.010577,0.015575,0.017775,0.013004,0.013289,0.929780
NC_078320.1,NC_078320.1__none__0,none,0,2000,virus,0.9991932511329651,0.028459,0.027754,0.112418,0.026355,0.031188,0.773826
