contig_id,real_len,pred_class,reliability,prob_bacteria,prob_phage,prob_eukarya,prob_archaea,prob_plasmid,prob_virus
NC_135604.1,1405,phage,0.9999761581420898,0.040704,0.810556,0.024086,0.032031,0.024192,0.068430
NC_135605.1,1274,virus,0.9998632669448853,0.019747,0.103683,0.033941,0.024302,0.027150,0.791177
NC_135606.1,1052,virus,0.9995798468589783,0.022698,0.027174,0.050986,0.032763,0.018734,0.847646
NC_135607.1,1037,phage,0.9999830722808838,0.033259,0.714667,0.030016,0.033121,0.023690,0.165248
NC_118824.1,1980,virus,0.9985664486885071,0.009693,0.012223,0.012827,0.009630,0.010412,0.945216
NC_135470.1,1291,virus,0.9919306635856628,0.022810,0.055418,0.089107,0.022027,0.020939,0.789699
NC_135471.1,1330,phage,0.9995711445808411,0.091100,0.714427,0.020399,0.023209,0.112267,0.038599
NC_135472.1,1379,archaea,0.9998390674591064,0.021899,0.075931,0.020757,0.833177,0.014885,0.033352
NC_135474.1,1047,phage,0.9999531507492065,0.046163,0.806436,0.026283,0.039771,0.036048,0.045299
NC_086346.1,1863,virus,0.9981024861335754,0.055283,0.046082,0.040176,0.051605,0.016708,0.790146
NC_077925.1,1003,virus,0.9973813891410828,0.043211,0.047510,0.160020,0.142165,0.024989,0.582105
NC_077930.1,1094,virus,0.9757039546966553,0.058593,0.081988,0.188632,0.083624,0.063627,0.523535
NC_077942.1,1073,phage,0.999629020690918,0.270811,0.518665,0.047284,0.051036,0.073606,0.038598
NC_077948.1,1019,phage,0.9987427592277527,0.191309,0.602935,0.038220,0.065556,0.060122,0.041858
NC_077975.1,1082,eukarya,0.9976334571838379,0.014871,0.044371,0.873813,0.020426,0.016698,0.029821
NC_077980.1,1003,archaea,0.9988704323768616,0.043917,0.224088,0.072711,0.465384,0.143516,0.050384
NC_077982.1,1034,virus,0.9943261742591858,0.052710,0.073073,0.259065,0.041695,0.020680,0.552776
NC_078143.1,1608,virus,0.9997445940971375,0.036010,0.125014,0.042068,0.175062,0.031098,0.590747
NC_078322.1,1452,virus,0.9998077750205994,0.042774,0.061102,0.174080,0.130890,0.028984,0.562170
NC_055940.1,1662,virus,0.9996047616004944,0.069422,0.036226,0.103826,0.071183,0.020458,0.698884
NC_077668.1,1784,virus,0.9903558492660522,0.014909,0.026981,0.044099,0.054866,0.019862,0.839284
NC_077722.1,1900,virus,0.9999359846115112,0.029499,0.270335,0.043500,0.029720,0.039053,0.587893
NC_077723.1,1936,virus,0.9970755577087402,0.031725,0.030738,0.254363,0.032447,0.029418,0.621308
NC_077724.1,1802,eukarya,0.9999545812606812,0.220683,0.051276,0.408976,0.037102,0.079148,0.202815
NC_077752.1,1325,virus,0.9983839988708496,0.041324,0.081435,0.075959,0.047571,0.294007,0.459703
NC_077755.1,1201,virus,0.9996614456176758,0.059618,0.068497,0.362539,0.044491,0.101922,0.362934
NC_077759.1,1637,eukarya,0.9984287619590759,0.020641,0.092812,0.728638,0.028126,0.062816,0.066966
NC_077760.1,1205,virus,0.999649167060852,0.020094,0.146813,0.049113,0.026511,0.026908,0.730561
NC_077837.1,1198,eukarya,0.9997723698616028,0.030465,0.035543,0.603912,0.030066,0.028469,0.271545
NC_077838.1,1196,virus,0.9954333901405334,0.032473,0.044639,0.216895,0.027515,0.034307,0.644171
NC_077844.1,1416,phage,0.9970118999481201,0.037243,0.795116,0.036044,0.032957,0.035410,0.063230
NC_077846.1,1331,virus,0.977735161781311,0.026085,0.069261,0.123960,0.030665,0.018883,0.731147
NC_077869.1,1052,virus,0.9993784427642822,0.044017,0.112408,0.044681,0.307513,0.036933,0.454448
NC_078006.1,1845,eukarya,0.9998372793197632,0.033525,0.026401,0.843329,0.021952,0.012401,0.062392
NC_078010.1,1398,eukarya,0.9992138147354126,0.025311,0.247395,0.447121,0.022624,0.045920,0.211629
NC_078011.1,1794,eukarya,0.9999346733093262,0.115359,0.076976,0.368170,0.181137,0.022537,0.235822
NC_078013.1,1857,virus,0.9997215867042542,0.021872,0.132716,0.170314,0.028491,0.032232,0.614374
NC_078016.1,1716,virus,0.9998583793640137,0.025922,0.353456,0.042333,0.028933,0.031261,0.518096
NC_078017.1,1340,phage,0.9997866749763489,0.158982,0.289353,0.265525,0.054020,0.076640,0.155480
NC_078018.1,1709,archaea,0.9984248876571655,0.138200,0.209949,0.211579,0.270097,0.079079,0.091097
NC_078021.1,1711,phage,0.9998924732208252,0.028335,0.906088,0.010468,0.016072,0.025363,0.013674
NC_078022.1,1525,phage,0.9999563694000244,0.020528,0.719477,0.045705,0.103397,0.026042,0.084850
NC_078023.1,1550,archaea,0.9999898672103882,0.109979,0.228007,0.050757,0.525562,0.040997,0.044698
NC_078024.1,1122,eukarya,0.8265829086303711,0.016546,0.048583,0.845867,0.018932,0.018227,0.051844
NC_078026.1,1299,virus,0.9997798800468445,0.073249,0.229863,0.119324,0.057081,0.060822,0.459662
NC_078027.1,1085,eukarya,0.9731780290603638,0.040340,0.085443,0.698144,0.031119,0.046165,0.098790
NC_078030.1,1053,virus,0.9814414978027344,0.036748,0.054101,0.402689,0.037078,0.024315,0.445070
NC_078032.1,1504,virus,0.9999501705169678,0.019647,0.024116,0.058340,0.049012,0.020667,0.828218
NC_078034.1,1224,eukarya,0.9999771118164062,0.079676,0.093312,0.299009,0.200763,0.079437,0.247803
NC_078035.1,1510,eukarya,0.9998726844787598,0.012301,0.022409,0.917660,0.017595,0.011000,0.019035
NC_078037.1,1968,phage,0.999555766582489,0.030466,0.546951,0.114947,0.230311,0.033965,0.043360
NC_078040.1,1194,phage,0.9985407590866089,0.101671,0.795974,0.015639,0.019696,0.050426,0.016593
NC_078043.1,1798,eukarya,0.9920275807380676,0.114486,0.056122,0.602912,0.066433,0.023231,0.136818
NC_078046.1,1727,virus,0.9985184073448181,0.178901,0.151784,0.074719,0.145647,0.056071,0.392878
NC_078047.1,1718,eukarya,0.9680787920951843,0.033139,0.047442,0.502792,0.048921,0.035467,0.332240
NC_078052.1,1729,virus,0.9993098974227905,0.070859,0.085863,0.153131,0.054888,0.046400,0.588859
NC_078058.1,1838,virus,0.9897856712341309,0.022940,0.027761,0.027463,0.104943,0.017849,0.799044
NC_078059.1,1933,eukarya,0.9996217489242554,0.055665,0.025525,0.803258,0.025741,0.013033,0.076777
NC_078062.1,1753,eukarya,0.9892628788948059,0.038851,0.034769,0.616916,0.147202,0.025273,0.136990
NC_078066.1,1694,virus,0.8056508898735046,0.032341,0.052489,0.129066,0.033848,0.028030,0.724227
NC_078068.1,1878,virus,0.9680581092834473,0.049373,0.052948,0.240970,0.054650,0.042340,0.559719
NC_078076.1,1830,virus,0.9957102537155151,0.072156,0.142136,0.193107,0.164500,0.040959,0.387143
NC_078079.1,1845,bacteria,0.9956806898117065,0.336188,0.136215,0.239279,0.105950,0.093128,0.089240
NC_078080.1,1738,virus,0.8682898283004761,0.016516,0.015058,0.019613,0.013603,0.011144,0.924067
NC_078084.1,1675,virus,0.9977425336837769,0.030641,0.036565,0.045517,0.026327,0.024876,0.836074
NC_078092.1,1815,eukarya,0.9995556473731995,0.013663,0.013383,0.920893,0.015996,0.014040,0.022026
NC_078096.1,1789,phage,0.9935100674629211,0.166465,0.275493,0.201562,0.057873,0.140146,0.158461
NC_078098.1,1704,phage,0.9999856948852539,0.019646,0.904999,0.013270,0.013316,0.033938,0.014832
NC_078099.1,1241,archaea,0.9986748695373535,0.146189,0.193073,0.157860,0.229257,0.068744,0.204877
NC_078111.1,1509,phage,0.9986441731452942,0.059570,0.459016,0.249019,0.040679,0.060196,0.131520
NC_078115.1,1315,phage,0.9856248497962952,0.022075,0.593346,0.095274,0.027061,0.031090,0.231153
NC_078116.1,1274,eukarya,0.9541257619857788,0.030767,0.033400,0.621928,0.030142,0.033243,0.250519
NC_078120.1,1207,virus,0.9919073581695557,0.020140,0.119595,0.264703,0.030168,0.063291,0.502103
NC_078122.1,1980,virus,0.9930735230445862,0.015932,0.015555,0.021093,0.032589,0.015714,0.899117
NC_078125.1,1131,phage,0.9541615843772888,0.412334,0.429229,0.053077,0.028451,0.057256,0.019654
NC_078126.1,1970,phage,0.9998874664306641,0.163470,0.591275,0.032327,0.034359,0.125739,0.052829
NC_078129.1,1694,virus,0.9999375343322754,0.018391,0.030066,0.025200,0.022363,0.012433,0.891547
NC_078131.1,1754,virus,0.9914970993995667,0.017999,0.022420,0.031469,0.018239,0.013888,0.895984
NC_078147.1,1777,archaea,0.9999387264251709,0.056437,0.155375,0.264934,0.321910,0.062153,0.139192
NC_078151.1,1760,virus,0.9999264478683472,0.044689,0.054526,0.034167,0.051921,0.030957,0.783741
NC_078160.1,1485,virus,0.9999306201934814,0.060678,0.143199,0.100116,0.085575,0.046577,0.563855
NC_078169.1,1932,virus,0.9994244575500488,0.045894,0.078150,0.056220,0.275075,0.036667,0.507994
NC_078226.1,1659,virus,0.9997001886367798,0.015709,0.016337,0.020236,0.044145,0.017847,0.885726
NC_078246.1,1704,virus,0.9983254075050354,0.012372,0.017427,0.014199,0.014294,0.012880,0.928828
NC_078250.1,1630,virus,0.9996346235275269,0.018452,0.025589,0.020269,0.023071,0.017224,0.895394
NC_078252.1,1960,virus,0.9934065341949463,0.010831,0.012313,0.014235,0.013031,0.012467,0.937123
NC_078257.1,1946,virus,0.9998893737792969,0.027072,0.041751,0.400961,0.054131,0.037222,0.438864
NC_078259.1,1739,virus,0.9993502497673035,0.027171,0.032399,0.069091,0.031196,0.025032,0.815111
NC_078263.1,1743,virus,0.9994756579399109,0.011445,0.019014,0.023300,0.012549,0.016062,0.917630
NC_078267.1,1729,virus,0.9999217987060547,0.029671,0.025973,0.290374,0.076338,0.033336,0.544307
NC_078269.1,1100,virus,0.9998672008514404,0.027528,0.038592,0.142186,0.038501,0.023353,0.729840
NC_078274.1,1019,phage,0.9999693632125854,0.025091,0.388997,0.381235,0.028251,0.029103,0.147323
NC_078284.1,1950,virus,0.9994805455207825,0.018923,0.024967,0.071607,0.031496,0.022864,0.830144
NC_078285.1,1924,virus,0.9998569488525391,0.017900,0.023662,0.025175,0.036295,0.018940,0.878027
NC_078286.1,1608,virus,0.9990267753601074,0.011161,0.017508,0.028478,0.013438,0.015419,0.913996
NC_078289.1,1630,virus,0.9996877908706665,0.038604,0.022432,0.042690,0.022615,0.015481,0.858178
NC_078296.1,1388,phage,0.999572217464447,0.022311,0.854506,0.034134,0.018623,0.015879,0.054548
NC_078298.1,1309,eukarya,0.9958465695381165,0.022300,0.045404,0.794059,0.030605,0.015950,0.091682
NC_078302.1,1670,virus,0.9995079040527344,0.015520,0.013828,0.012923,0.011257,0.010726,0.935746
NC_078317.1,1931,virus,0.9989480376243591,0.041997,0.044399,0.054443,0.034411,0.029790,0.794960
NC_078319.1,1492,phage,0.999313473701477,0.077782,0.535971,0.155042,0.038295,0.044154,0.148756
NC_078324.1,1458,virus,0.9999616146087646,0.035811,0.031385,0.070834,0.053589,0.033969,0.774411
NC_078328.1,1611,virus,0.99996018409729,0.035608,0.053820,0.087322,0.066199,0.036060,0.720992
NC_078331.1,1054,phage,0.9999427795410156,0.198194,0.536813,0.049492,0.109083,0.068290,0.038128
NC_078333.1,1708,phage,0.9999923706054688,0.135411,0.417886,0.083519,0.169675,0.101057,0.092453
NC_078334.1,1646,virus,0.9999107122421265,0.051690,0.280758,0.094396,0.181298,0.041408,0.350450
NC_078347.1,1874,virus,0.9994231462478638,0.028389,0.036518,0.051404,0.237536,0.021772,0.624382
NC_078351.1,1715,virus,0.9999350309371948,0.040953,0.119882,0.141621,0.043549,0.029985,0.624010
NC_078353.1,1835,virus,0.9842278957366943,0.250633,0.113470,0.167501,0.075636,0.083731,0.309029
NC_078356.1,1722,eukarya,0.999823272228241,0.026415,0.034359,0.810606,0.040406,0.021821,0.066392
NC_078363.1,1529,virus,0.9999066591262817,0.020699,0.037957,0.144772,0.028429,0.017806,0.750337
NC_078364.1,1294,archaea,0.9998383522033691,0.216826,0.048868,0.054173,0.623320,0.023182,0.033632
NC_078365.1,1080,archaea,0.9996528625488281,0.044678,0.078860,0.052322,0.732459,0.021934,0.069747
NC_078367.1,1078,archaea,0.9985582232475281,0.022985,0.023783,0.012878,0.914743,0.013512,0.012099
NC_078370.1,1097,eukarya,0.9997376799583435,0.036831,0.172928,0.379594,0.043135,0.041660,0.325852
NC_078371.1,1050,eukarya,0.9997935891151428,0.027962,0.348796,0.484811,0.033273,0.031324,0.073834
NC_078372.1,1066,phage,0.9997344613075256,0.040361,0.643675,0.052980,0.026572,0.027055,0.209356
NC_078373.1,1128,eukarya,0.9979155659675598,0.037139,0.064978,0.521150,0.079694,0.034851,0.262187
NC_078375.1,1369,phage,0.9999799728393555,0.025111,0.431911,0.030594,0.418208,0.036094,0.058081
NC_078377.1,1478,eukarya,0.999961256980896,0.021415,0.063457,0.779870,0.051997,0.020954,0.062306
NC_078387.1,1267,virus,0.9997532963752747,0.059032,0.122735,0.109249,0.195853,0.036817,0.476314
NC_078389.1,1547,virus,0.9999886751174927,0.022760,0.103439,0.115508,0.119734,0.033760,0.604799
NC_078390.1,1259,archaea,0.9999892711639404,0.019136,0.250949,0.037435,0.613179,0.032614,0.046687
NC_078393.1,1946,eukarya,0.9997937083244324,0.021465,0.186985,0.506797,0.031751,0.030911,0.222091
NC_078396.1,1296,eukarya,0.9992678761482239,0.011193,0.015305,0.933495,0.010726,0.012473,0.016808
NC_078397.1,1543,phage,0.9999865293502808,0.017565,0.747551,0.061151,0.028015,0.023426,0.122291
NC_078399.1,1253,archaea,0.9994983673095703,0.053937,0.077151,0.026121,0.794715,0.019642,0.028434
NC_078402.1,1345,bacteria,0.9971877932548523,0.322466,0.303652,0.063007,0.161066,0.058481,0.091329
NC_078403.1,1456,bacteria,0.999614953994751,0.419106,0.115484,0.071902,0.047115,0.137418,0.208975
NC_078404.1,1554,archaea,0.8144705295562744,0.022434,0.061364,0.067621,0.799340,0.017970,0.031271
NC_078406.1,1612,bacteria,0.9990954399108887,0.439978,0.096252,0.108189,0.134693,0.051047,0.169841
NC_078410.1,1891,virus,0.9980870485305786,0.025923,0.129783,0.060415,0.027587,0.026579,0.729714
NC_078411.1,1335,phage,0.9967355132102966,0.255807,0.464918,0.028559,0.060112,0.127067,0.063537
NC_078412.1,1155,bacteria,0.9983673691749573,0.592183,0.152488,0.015662,0.024354,0.191235,0.024079
NC_078413.1,1297,bacteria,0.9957179427146912,0.313232,0.219295,0.055552,0.241043,0.135602,0.035277
NC_078414.1,1246,bacteria,0.9489637613296509,0.333565,0.077834,0.202269,0.114881,0.108060,0.163392
NC_078416.1,1349,bacteria,0.9995641112327576,0.791734,0.086004,0.016677,0.034717,0.041801,0.029067
NC_078418.1,1474,bacteria,0.9995966553688049,0.510053,0.151379,0.125868,0.035205,0.089705,0.087790
NC_078419.1,1360,phage,0.9997276663780212,0.350561,0.371866,0.027320,0.081213,0.059642,0.109397
NC_078429.1,1154,bacteria,0.9999810457229614,0.771864,0.063384,0.022224,0.082062,0.039367,0.021100
NC_078430.1,1316,archaea,0.9949415326118469,0.099278,0.089562,0.115607,0.421440,0.094809,0.179304
NC_078432.1,1208,virus,0.9999914169311523,0.019423,0.037666,0.043615,0.020109,0.022789,0.856398
NC_078434.1,1664,virus,0.9999057054519653,0.014003,0.071359,0.035677,0.017233,0.018589,0.843139
NC_078436.1,1149,eukarya,0.9999324083328247,0.035808,0.084293,0.420586,0.068783,0.036419,0.354113
NC_078439.1,1039,virus,0.999215841293335,0.064390,0.380185,0.063955,0.038427,0.034248,0.418795
NC_078442.1,1657,eukarya,0.9999963045120239,0.035710,0.227206,0.465632,0.068607,0.054439,0.148407
NC_078444.1,1269,eukarya,0.9998565912246704,0.012672,0.029265,0.909427,0.016188,0.015105,0.017343
NC_078445.1,1557,eukarya,0.9999741315841675,0.017404,0.040915,0.841260,0.018880,0.013137,0.068404
NC_078446.1,1665,virus,0.9998366832733154,0.021862,0.058584,0.040313,0.030129,0.020611,0.828500
