contig_id,pad_len,pred_class,reliability
NC_115668.1,0,bacteria,0.997118
NC_115668.1,100,bacteria,0.996146
NC_115668.1,200,bacteria,0.997798
NC_115668.1,500,bacteria,0.997961
NC_115918.1,0,virus,0.999915
NC_115918.1,100,phage,0.999936
NC_115918.1,200,virus,0.999927
NC_115918.1,500,virus,0.999942
NC_138368.1,0,phage,0.992754
NC_138368.1,100,phage,0.994802
NC_138368.1,200,phage,0.993266
NC_138368.1,500,phage,0.994831
NC_118823.1,0,virus,0.998719
NC_118823.1,100,virus,0.998335
NC_118823.1,200,virus,0.998832
NC_118823.1,500,virus,0.998437
NC_077934.1,0,virus,0.999848
NC_077934.1,100,virus,0.999840
NC_077934.1,200,virus,0.999801
NC_077934.1,500,virus,0.999818
NC_077758.1,0,eukarya,0.999979
NC_077758.1,100,eukarya,0.999976
NC_077758.1,200,eukarya,0.999982
NC_077758.1,500,eukarya,0.999982
NC_078109.1,0,archaea,0.999418
NC_078109.1,100,archaea,0.999402
NC_078109.1,200,archaea,0.999336
NC_078109.1,500,archaea,0.999376
NC_078233.1,0,virus,0.999927
NC_078233.1,100,phage,0.999933
NC_078233.1,200,virus,0.999936
NC_078233.1,500,phage,0.999942
NC_078271.1,0,virus,0.999750
NC_078271.1,100,virus,0.999745
NC_078271.1,200,virus,0.999745
NC_078271.1,500,virus,0.999754
NC_078394.1,0,virus,0.998976
NC_078394.1,100,virus,0.998703
NC_078394.1,200,virus,0.999083
NC_078394.1,500,eukarya,0.998981
NC_078447.1,0,eukarya,0.999469
NC_078447.1,100,eukarya,0.999461
NC_078447.1,200,eukarya,0.999287
NC_078447.1,500,eukarya,0.999297
NC_078596.1,0,virus,0.993959
NC_078596.1,100,virus,0.994058
NC_078596.1,200,virus,0.994439
NC_078596.1,500,virus,0.995595
NC_078634.1,0,virus,0.999864
NC_078634.1,100,virus,0.999821
NC_078634.1,200,virus,0.999869
NC_078634.1,500,virus,0.999900
NC_078639.1,0,virus,0.993155
NC_078639.1,100,virus,0.993071
NC_078639.1,200,virus,0.992843
NC_078639.1,500,eukarya,0.993390
NC_078660.1,0,virus,0.999835
NC_078660.1,100,virus,0.999834
NC_078660.1,200,virus,0.999835
NC_078660.1,500,virus,0.999822
NC_078661.1,0,virus,0.999641
NC_078661.1,100,phage,0.999664
NC_078661.1,200,virus,0.999629
NC_078661.1,500,virus,0.999636
NC_078667.1,0,archaea,0.999968
NC_078667.1,100,virus,0.999968
NC_078667.1,200,archaea,0.999970
NC_078667.1,500,archaea,0.999971
