contig_id,frag_id,pad_char,pad_len,real_len,pred_class,reliability,prob_bacteria,prob_phage,prob_eukarya,prob_archaea,prob_plasmid,prob_virus
NC_139368.1,NC_139368.1__none__0,none,0,2000,virus,0.9810323119163513,0.014231,0.016633,0.036549,0.027197,0.016519,0.888872
NC_139368.1,NC_139368.1__M__500,M,500,1500,eukarya,0.9811846613883972,0.028821,0.036597,0.416485,0.120443,0.029653,0.368001
NC_139368.1,NC_139368.1__M__450,M,450,1550,virus,0.9829607605934143,0.029564,0.036959,0.338918,0.151541,0.029811,0.413206
NC_139368.1,NC_139368.1__M__400,M,400,1600,virus,0.9842588901519775,0.029745,0.034789,0.302120,0.114815,0.030136,0.488396
NC_139368.1,NC_139368.1__M__350,M,350,1650,virus,0.9843984842300415,0.025931,0.030136,0.175142,0.084405,0.028349,0.656037
NC_139368.1,NC_139368.1__M__300,M,300,1700,virus,0.9844716191291809,0.025671,0.030344,0.196670,0.063775,0.028863,0.654678
NC_139368.1,NC_139368.1__M__250,M,250,1750,virus,0.9849123954772949,0.023258,0.029356,0.172003,0.066299,0.026888,0.682197
NC_139368.1,NC_139368.1__M__200,M,200,1800,virus,0.9834799766540527,0.025430,0.030568,0.222518,0.080899,0.028857,0.611728
NC_139368.1,NC_139368.1__M__150,M,150,1850,virus,0.9820407629013062,0.019850,0.023944,0.098921,0.054253,0.023072,0.779961
NC_139368.1,NC_139368.1__M__100,M,100,1900,virus,0.98321932554245,0.017514,0.020436,0.062624,0.042145,0.019946,0.837335
NC_139368.1,NC_139368.1__M__50,M,50,1950,virus,0.9825265407562256,0.015300,0.017626,0.043842,0.031826,0.017127,0.874279
NC_139368.1,NC_139368.1__M__1,M,1,1999,virus,0.9810234308242798,0.014275,0.016657,0.036373,0.027340,0.016480,0.888875
NC_139181.1,NC_139181.1__none__0,none,0,2000,phage,0.9614417552947998,0.021070,0.917062,0.014051,0.015185,0.014570,0.018061
NC_139181.1,NC_139181.1__M__500,M,500,1500,phage,0.9613107442855835,0.023000,0.902496,0.016091,0.019187,0.018418,0.020808
NC_139181.1,NC_139181.1__M__450,M,450,1550,phage,0.9613783955574036,0.023116,0.903140,0.015662,0.018856,0.018922,0.020305
NC_139181.1,NC_139181.1__M__400,M,400,1600,phage,0.9643933773040771,0.026457,0.891960,0.017711,0.021135,0.020923,0.021814
NC_139181.1,NC_139181.1__M__350,M,350,1650,phage,0.9640517830848694,0.032713,0.885125,0.018009,0.020664,0.021319,0.022170
NC_139181.1,NC_139181.1__M__300,M,300,1700,phage,0.965187668800354,0.032643,0.890410,0.017426,0.019534,0.018551,0.021437
NC_139181.1,NC_139181.1__M__250,M,250,1750,phage,0.9589665532112122,0.036233,0.884783,0.017405,0.019839,0.020111,0.021629
NC_139181.1,NC_139181.1__M__200,M,200,1800,phage,0.9541487693786621,0.028542,0.901377,0.014826,0.017360,0.018844,0.019051
NC_139181.1,NC_139181.1__M__150,M,150,1850,phage,0.9543216824531555,0.022796,0.909131,0.015091,0.016464,0.017046,0.019472
NC_139181.1,NC_139181.1__M__100,M,100,1900,phage,0.9562175869941711,0.021870,0.913083,0.014377,0.015894,0.015836,0.018941
NC_139181.1,NC_139181.1__M__50,M,50,1950,phage,0.963615894317627,0.020369,0.917528,0.013852,0.014981,0.015049,0.018221
NC_139181.1,NC_139181.1__M__1,M,1,1999,phage,0.9615892171859741,0.020940,0.917274,0.013989,0.015212,0.014515,0.018070
NC_138481.1,NC_138481.1__none__0,none,0,2000,eukarya,0.9845848679542542,0.016839,0.013860,0.920207,0.016451,0.017298,0.015345
NC_138481.1,NC_138481.1__M__500,M,500,1500,eukarya,0.98366379737854,0.013840,0.011452,0.932861,0.013356,0.014125,0.014366
NC_138481.1,NC_138481.1__M__450,M,450,1550,eukarya,0.9810271263122559,0.013295,0.011814,0.930901,0.013870,0.015391,0.014729
NC_138481.1,NC_138481.1__M__400,M,400,1600,eukarya,0.9821826815605164,0.013190,0.011460,0.931011,0.014117,0.015232,0.014989
NC_138481.1,NC_138481.1__M__350,M,350,1650,eukarya,0.9838675260543823,0.013457,0.012429,0.929884,0.014290,0.016261,0.013679
NC_138481.1,NC_138481.1__M__300,M,300,1700,eukarya,0.9823455214500427,0.014222,0.013418,0.924332,0.015979,0.017473,0.014575
NC_138481.1,NC_138481.1__M__250,M,250,1750,eukarya,0.9828811883926392,0.015016,0.014506,0.921505,0.016345,0.018228,0.014401
NC_138481.1,NC_138481.1__M__200,M,200,1800,eukarya,0.9843584299087524,0.014775,0.013614,0.925106,0.015534,0.017084,0.013887
NC_138481.1,NC_138481.1__M__150,M,150,1850,eukarya,0.982426643371582,0.014651,0.013176,0.925526,0.015432,0.017069,0.014146
NC_138481.1,NC_138481.1__M__100,M,100,1900,eukarya,0.9832436442375183,0.015375,0.013162,0.924540,0.015637,0.016987,0.014299
NC_138481.1,NC_138481.1__M__50,M,50,1950,eukarya,0.9840505719184875,0.016393,0.013423,0.920695,0.016804,0.017711,0.014974
NC_138481.1,NC_138481.1__M__1,M,1,1999,eukarya,0.9848451614379883,0.016834,0.013865,0.920231,0.016448,0.017288,0.015335
NC_137529.1,NC_137529.1__none__0,none,0,2000,phage,0.9406081438064575,0.084217,0.799167,0.018904,0.024231,0.049983,0.023498
NC_137529.1,NC_137529.1__M__500,M,500,1500,phage,0.8242073059082031,0.158227,0.532175,0.082066,0.068341,0.099808,0.059383
NC_137529.1,NC_137529.1__M__450,M,450,1550,phage,0.8437756299972534,0.170613,0.499734,0.102463,0.066466,0.095495,0.065229
NC_137529.1,NC_137529.1__M__400,M,400,1600,phage,0.8359095454216003,0.203794,0.516885,0.065369,0.055513,0.102675,0.055764
NC_137529.1,NC_137529.1__M__350,M,350,1650,phage,0.8674778342247009,0.147784,0.642052,0.040443,0.041120,0.087526,0.041077
NC_137529.1,NC_137529.1__M__300,M,300,1700,phage,0.8894859552383423,0.313967,0.437951,0.035960,0.042528,0.133550,0.036044
NC_137529.1,NC_137529.1__M__250,M,250,1750,phage,0.8831194043159485,0.249252,0.545512,0.031224,0.038409,0.101781,0.033822
NC_137529.1,NC_137529.1__M__200,M,200,1800,phage,0.9173552393913269,0.368091,0.425123,0.029462,0.034167,0.112635,0.030523
NC_137529.1,NC_137529.1__M__150,M,150,1850,bacteria,0.9164443016052246,0.452903,0.300973,0.036230,0.039965,0.134480,0.035448
NC_137529.1,NC_137529.1__M__100,M,100,1900,phage,0.9174451231956482,0.385793,0.398892,0.033792,0.038605,0.109114,0.033804
NC_137529.1,NC_137529.1__M__50,M,50,1950,phage,0.926206111907959,0.170314,0.664326,0.022990,0.027714,0.088427,0.026230
NC_137529.1,NC_137529.1__M__1,M,1,1999,phage,0.9405724406242371,0.084451,0.799010,0.018870,0.024247,0.049981,0.023440
NC_117365.1,NC_117365.1__none__0,none,0,2000,virus,0.9532406330108643,0.013679,0.015842,0.021280,0.013762,0.015121,0.920316
NC_117365.1,NC_117365.1__M__500,M,500,1500,virus,0.953468382358551,0.009401,0.013718,0.017558,0.011688,0.010757,0.936877
NC_117365.1,NC_117365.1__M__450,M,450,1550,virus,0.9600844383239746,0.009900,0.015410,0.018636,0.011966,0.011977,0.932111
NC_117365.1,NC_117365.1__M__400,M,400,1600,virus,0.9613128304481506,0.010173,0.015034,0.019613,0.012586,0.012626,0.929968
