contig_id,pad_len,pred_class,reliability
NC_115668.1,0,eukarya,0.946987
NC_115668.1,100,eukarya,0.944904
NC_115668.1,200,bacteria,0.954910
NC_115668.1,500,bacteria,0.949832
NC_115918.1,0,virus,0.978623
NC_115918.1,100,phage,0.979234
NC_115918.1,200,virus,0.980798
NC_115918.1,500,virus,0.981105
NC_138368.1,0,phage,0.920190
NC_138368.1,100,phage,0.916714
NC_138368.1,200,phage,0.921173
NC_138368.1,500,phage,0.929459
NC_118823.1,0,virus,0.977074
NC_118823.1,100,virus,0.977764
NC_118823.1,200,virus,0.975777
NC_118823.1,500,virus,0.976459
NC_077934.1,0,virus,0.982505
NC_077934.1,100,virus,0.980584
NC_077934.1,200,virus,0.982087
NC_077934.1,500,virus,0.982421
NC_077758.1,0,eukarya,0.979614
NC_077758.1,100,eukarya,0.980872
NC_077758.1,200,eukarya,0.981244
NC_077758.1,500,eukarya,0.981207
NC_078109.1,0,phage,0.975678
NC_078109.1,100,phage,0.976296
NC_078109.1,200,phage,0.974602
NC_078109.1,500,phage,0.972742
NC_078233.1,0,virus,0.977321
NC_078233.1,100,virus,0.975047
NC_078233.1,200,virus,0.978687
NC_078233.1,500,virus,0.978461
NC_078271.1,0,virus,0.987222
NC_078271.1,100,virus,0.986641
NC_078271.1,200,virus,0.984816
NC_078271.1,500,virus,0.984798
NC_078394.1,0,eukarya,0.960614
NC_078394.1,100,eukarya,0.955212
NC_078394.1,200,virus,0.961907
NC_078394.1,500,virus,0.961205
NC_078447.1,0,virus,0.972633
NC_078447.1,100,virus,0.972753
NC_078447.1,200,virus,0.972242
NC_078447.1,500,virus,0.972080
NC_078596.1,0,virus,0.975468
NC_078596.1,100,virus,0.975124
NC_078596.1,200,virus,0.974813
NC_078596.1,500,virus,0.974815
NC_078634.1,0,virus,0.967978
NC_078634.1,100,virus,0.966712
NC_078634.1,200,virus,0.967773
NC_078634.1,500,virus,0.965688
NC_078639.1,0,eukarya,0.962622
NC_078639.1,100,eukarya,0.961155
NC_078639.1,200,eukarya,0.962510
NC_078639.1,500,eukarya,0.959424
NC_078660.1,0,virus,0.983432
NC_078660.1,100,virus,0.983157
NC_078660.1,200,virus,0.982097
NC_078660.1,500,virus,0.981952
NC_078661.1,0,virus,0.970791
NC_078661.1,100,virus,0.967416
NC_078661.1,200,virus,0.971450
NC_078661.1,500,virus,0.974255
NC_078667.1,0,virus,0.980338
NC_078667.1,100,virus,0.979067
NC_078667.1,200,virus,0.980162
NC_078667.1,500,virus,0.979449
NC_078697.1,0,virus,0.981830
NC_078697.1,100,virus,0.980013
NC_078697.1,200,virus,0.980980
NC_078697.1,500,virus,0.979854
NC_078864.1,0,phage,0.982197
NC_078864.1,100,phage,0.981275
NC_078864.1,200,phage,0.981088
NC_078864.1,500,phage,0.981156
NC_078992.1,0,virus,0.972963
NC_078992.1,100,virus,0.972424
NC_078992.1,200,virus,0.972299
NC_078992.1,500,virus,0.972819
NC_079064.1,0,virus,0.988084
NC_079064.1,100,virus,0.986244
NC_079064.1,200,virus,0.986766
NC_079064.1,500,virus,0.987800
NC_079119.1,0,virus,0.976659
NC_079119.1,100,virus,0.980531
NC_079119.1,200,virus,0.978192
NC_079119.1,500,virus,0.978183
NC_075440.1,0,archaea,0.979068
NC_075440.1,100,archaea,0.976380
NC_075440.1,200,archaea,0.981013
NC_075440.1,500,archaea,0.981419
NC_075445.1,0,virus,0.920012
NC_075445.1,100,virus,0.912346
NC_075445.1,200,virus,0.894894
NC_075445.1,500,virus,0.900944
NC_076000.1,0,virus,0.986426
NC_076000.1,100,virus,0.986699
NC_076000.1,200,virus,0.987111
NC_076000.1,500,virus,0.986721
NC_076289.1,0,virus,0.983208
NC_076289.1,100,virus,0.984074
NC_076289.1,200,virus,0.985119
NC_076289.1,500,virus,0.984202
NC_076338.1,0,virus,0.970981
NC_076338.1,100,virus,0.970998
NC_076338.1,200,virus,0.972117
NC_076338.1,500,virus,0.972535
NC_076572.1,0,phage,0.506361
NC_076572.1,100,phage,0.455619
NC_076572.1,200,phage,0.440598
NC_076572.1,500,phage,0.464918
NC_076575.1,0,eukarya,0.911415
NC_076575.1,100,eukarya,0.907766
NC_076575.1,200,eukarya,0.912720
NC_076575.1,500,eukarya,0.909094
NC_076648.1,0,eukarya,0.973087
NC_076648.1,100,eukarya,0.975784
NC_076648.1,200,eukarya,0.973393
NC_076648.1,500,eukarya,0.972449
NC_076669.1,0,virus,0.221316
NC_076669.1,100,virus,0.178444
NC_076669.1,200,virus,0.229426
NC_076669.1,500,virus,0.199742
NC_076680.1,0,virus,0.501641
NC_076680.1,100,virus,0.448856
NC_076680.1,200,eukarya,0.391440
NC_076680.1,500,eukarya,0.388506
NC_076718.1,0,virus,0.735608
NC_076718.1,100,virus,0.759828
NC_076718.1,200,virus,0.765549
NC_076718.1,500,virus,0.750826
NC_076723.1,0,eukarya,0.275435
NC_076723.1,100,eukarya,0.240341
NC_076723.1,200,eukarya,0.236064
NC_076723.1,500,eukarya,0.209933
NC_076830.1,0,eukarya,0.842499
NC_076830.1,100,eukarya,0.873484
NC_076830.1,200,eukarya,0.874370
NC_076830.1,500,eukarya,0.889879
NC_076914.1,0,eukarya,0.985880
NC_076914.1,100,eukarya,0.984864
NC_076914.1,200,eukarya,0.984905
NC_076914.1,500,eukarya,0.985068
NC_076976.1,0,eukarya,0.981081
NC_076976.1,100,eukarya,0.981937
NC_076976.1,200,eukarya,0.978015
NC_076976.1,500,eukarya,0.978087
NC_077059.1,0,virus,0.971475
NC_077059.1,100,virus,0.966623
NC_077059.1,200,virus,0.971366
NC_077059.1,500,virus,0.968668
NC_077084.1,0,virus,0.913308
NC_077084.1,100,virus,0.898954
NC_077084.1,200,virus,0.864579
NC_077084.1,500,virus,0.845391
NC_073834.1,0,phage,0.910138
NC_073834.1,100,phage,0.922283
NC_073834.1,200,phage,0.919276
NC_073834.1,500,phage,0.924382
NC_073916.1,0,phage,0.973063
NC_073916.1,100,phage,0.969066
NC_073916.1,200,phage,0.971187
NC_073916.1,500,phage,0.971033
NC_073924.1,0,phage,0.975145
NC_073924.1,100,phage,0.974605
NC_073924.1,200,phage,0.970289
NC_073924.1,500,phage,0.970859
NC_073999.1,0,phage,0.970959
NC_073999.1,100,phage,0.969956
NC_073999.1,200,phage,0.970528
NC_073999.1,500,phage,0.970052
NC_074035.1,0,phage,0.983342
NC_074035.1,100,phage,0.984161
NC_074035.1,200,phage,0.984276
NC_074035.1,500,phage,0.984559
NC_074050.1,0,phage,0.986395
NC_074050.1,100,phage,0.984058
NC_074050.1,200,phage,0.987955
NC_074050.1,500,phage,0.988424
NC_074090.1,0,phage,0.975549
NC_074090.1,100,phage,0.973176
NC_074090.1,200,phage,0.973926
NC_074090.1,500,phage,0.972968
NC_074332.1,0,phage,0.970674
NC_074332.1,100,phage,0.970746
NC_074332.1,200,phage,0.970080
NC_074332.1,500,phage,0.969898
NC_074355.1,0,phage,0.979113
NC_074355.1,100,phage,0.976946
NC_074355.1,200,phage,0.979182
NC_074355.1,500,phage,0.979161
NC_074359.1,0,phage,0.937335
NC_074359.1,100,phage,0.943939
NC_074359.1,200,phage,0.932939
NC_074359.1,500,phage,0.928655
NC_074402.1,0,phage,0.946781
NC_074402.1,100,phage,0.964776
NC_074402.1,200,phage,0.955399
NC_074402.1,500,phage,0.950674
NC_074445.1,0,virus,0.938250
NC_074445.1,100,virus,0.922060
NC_074445.1,200,phage,0.941983
NC_074445.1,500,phage,0.944193
NC_074506.1,0,phage,0.967454
NC_074506.1,100,phage,0.960116
NC_074506.1,200,eukarya,0.968487
NC_074506.1,500,eukarya,0.969011
NC_074586.1,0,phage,0.905606
NC_074586.1,100,phage,0.927661
NC_074586.1,200,phage,0.916380
NC_074586.1,500,phage,0.921113
NC_074590.1,0,phage,0.943949
NC_074590.1,100,phage,0.958076
NC_074590.1,200,phage,0.953744
NC_074590.1,500,phage,0.959150
NC_055144.1,0,phage,0.904767
NC_055144.1,100,phage,0.881357
NC_055144.1,200,phage,0.876239
NC_055144.1,500,phage,0.885156
NC_055299.1,0,virus,0.948863
NC_055299.1,100,virus,0.944880
NC_055299.1,200,virus,0.940358
NC_055299.1,500,virus,0.940528
NC_055306.1,0,virus,0.977134
NC_055306.1,100,virus,0.977677
NC_055306.1,200,virus,0.977512
NC_055306.1,500,virus,0.978822
NC_055346.1,0,virus,0.987305
NC_055346.1,100,virus,0.988092
NC_055346.1,200,virus,0.987480
NC_055346.1,500,virus,0.988164
NC_055415.1,0,eukarya,0.984386
NC_055415.1,100,eukarya,0.983764
NC_055415.1,200,eukarya,0.983678
NC_055415.1,500,eukarya,0.984326
NC_055481.1,0,phage,0.986765
NC_055481.1,100,phage,0.987129
NC_055481.1,200,archaea,0.987383
NC_055481.1,500,archaea,0.988055
NC_055545.1,0,virus,0.982978
NC_055545.1,100,virus,0.981902
NC_055545.1,200,virus,0.982883
NC_055545.1,500,virus,0.984206
NC_055626.1,0,eukarya,0.984328
NC_055626.1,100,eukarya,0.983356
NC_055626.1,200,eukarya,0.983515
NC_055626.1,500,eukarya,0.982599
NC_055056.1,0,phage,0.980354
NC_055056.1,100,phage,0.981583
NC_055056.1,200,phage,0.980473
NC_055056.1,500,phage,0.980740
NC_043102.1,0,phage,0.975819
NC_043102.1,100,phage,0.974626
NC_043102.1,200,phage,0.976601
NC_043102.1,500,phage,0.977946
NC_043149.1,0,virus,0.989353
NC_043149.1,100,virus,0.988693
NC_043149.1,200,phage,0.990369
NC_043149.1,500,phage,0.989960
NC_043159.1,0,eukarya,0.969253
NC_043159.1,100,eukarya,0.969227
NC_043159.1,200,eukarya,0.968314
NC_043159.1,500,eukarya,0.971325
NC_043171.1,0,virus,0.984011
NC_043171.1,100,phage,0.984803
NC_043171.1,200,virus,0.985700
NC_043171.1,500,virus,0.985216
NC_043195.1,0,virus,0.983934
NC_043195.1,100,virus,0.983224
NC_043195.1,200,virus,0.982470
NC_043195.1,500,virus,0.980700
NC_043577.1,0,virus,0.967531
NC_043577.1,100,virus,0.963464
NC_043577.1,200,virus,0.965511
NC_043577.1,500,virus,0.964142
NC_043603.1,0,virus,0.957342
NC_043603.1,100,archaea,0.966883
NC_043603.1,200,archaea,0.961441
NC_043603.1,500,virus,0.961405
NC_040398.1,0,eukarya,0.893112
NC_040398.1,100,eukarya,0.893796
NC_040398.1,200,eukarya,0.887056
NC_040398.1,500,eukarya,0.884782
NC_040501.1,0,phage,0.981984
NC_040501.1,100,phage,0.982368
NC_040501.1,200,phage,0.982110
NC_040501.1,500,phage,0.982422
NC_040504.1,0,virus,0.984694
NC_040504.1,100,virus,0.988559
NC_040504.1,200,virus,0.985882
NC_040504.1,500,virus,0.986773
NC_040515.1,0,virus,0.931803
