contig_id,frag_id,pad_char,pad_len,real_len,pred_class,reliability,prob_bacteria,prob_phage,prob_eukarya,prob_archaea,prob_plasmid,prob_virus
NC_139368.1,NC_139368.1__none__0,none,0,2000,eukarya,0.9965851306915283,0.073742,0.057570,0.554905,0.121558,0.070207,0.122019
NC_139368.1,NC_139368.1__M__500,M,500,1500,bacteria,0.9947782754898071,0.585060,0.108689,0.049932,0.039459,0.179586,0.037275
NC_139368.1,NC_139368.1__M__450,M,450,1550,bacteria,0.9947856068611145,0.585060,0.108689,0.049932,0.039459,0.179586,0.037275
NC_139368.1,NC_139368.1__M__400,M,400,1600,bacteria,0.9947919249534607,0.585060,0.108689,0.049932,0.039459,0.179586,0.037275
NC_139368.1,NC_139368.1__M__350,M,350,1650,bacteria,0.9999274015426636,0.585060,0.108689,0.049932,0.039459,0.179586,0.037275
NC_139368.1,NC_139368.1__M__300,M,300,1700,bacteria,0.9999352693557739,0.585060,0.108689,0.049932,0.039459,0.179586,0.037275
NC_139368.1,NC_139368.1__M__250,M,250,1750,bacteria,0.9999375343322754,0.585060,0.108689,0.049932,0.039459,0.179586,0.037275
NC_139368.1,NC_139368.1__M__200,M,200,1800,bacteria,0.9999345541000366,0.585060,0.108689,0.049932,0.039459,0.179586,0.037275
NC_139368.1,NC_139368.1__M__150,M,150,1850,bacteria,0.9999282360076904,0.585060,0.108689,0.049932,0.039459,0.179586,0.037275
NC_139368.1,NC_139368.1__M__100,M,100,1900,bacteria,0.999921441078186,0.585060,0.108689,0.049932,0.039459,0.179586,0.037275
NC_139368.1,NC_139368.1__M__50,M,50,1950,eukarya,0.9961214661598206,0.075793,0.059006,0.553001,0.113034,0.076772,0.122395
NC_139368.1,NC_139368.1__M__1,M,1,1999,eukarya,0.9965715408325195,0.073742,0.057570,0.554905,0.121558,0.070207,0.122019
NC_139181.1,NC_139181.1__none__0,none,0,2000,eukarya,0.9120320081710815,0.068984,0.048838,0.631263,0.089095,0.066469,0.095351
NC_139181.1,NC_139181.1__M__500,M,500,1500,bacteria,0.9874905943870544,0.585060,0.108689,0.049932,0.039459,0.179586,0.037275
NC_139181.1,NC_139181.1__M__450,M,450,1550,bacteria,0.9873666763305664,0.585060,0.108689,0.049932,0.039459,0.179586,0.037275
NC_139181.1,NC_139181.1__M__400,M,400,1600,bacteria,0.9875719547271729,0.585060,0.108689,0.049932,0.039459,0.179586,0.037275
NC_139181.1,NC_139181.1__M__350,M,350,1650,bacteria,0.998661994934082,0.585060,0.108689,0.049932,0.039459,0.179586,0.037275
NC_139181.1,NC_139181.1__M__300,M,300,1700,bacteria,0.9993703961372375,0.585060,0.108689,0.049932,0.039459,0.179586,0.037275
NC_139181.1,NC_139181.1__M__250,M,250,1750,bacteria,0.9994082450866699,0.585060,0.108689,0.049932,0.039459,0.179586,0.037275
NC_139181.1,NC_139181.1__M__200,M,200,1800,bacteria,0.9994269609451294,0.585060,0.108689,0.049932,0.039459,0.179586,0.037275
NC_139181.1,NC_139181.1__M__150,M,150,1850,bacteria,0.9994449019432068,0.585060,0.108689,0.049932,0.039459,0.179586,0.037275
NC_139181.1,NC_139181.1__M__100,M,100,1900,bacteria,0.9994493126869202,0.585060,0.108689,0.049932,0.039459,0.179586,0.037275
NC_139181.1,NC_139181.1__M__50,M,50,1950,eukarya,0.9127680659294128,0.074265,0.052936,0.593726,0.102559,0.071643,0.104870
NC_139181.1,NC_139181.1__M__1,M,1,1999,eukarya,0.9104112982749939,0.068984,0.048838,0.631263,0.089095,0.066469,0.095351
NC_138481.1,NC_138481.1__none__0,none,0,2000,eukarya,0.9936389327049255,0.075346,0.052973,0.577383,0.114316,0.071275,0.108708
NC_138481.1,NC_138481.1__M__500,M,500,1500,bacteria,0.9906576871871948,0.585060,0.108689,0.049932,0.039459,0.179586,0.037275
NC_138481.1,NC_138481.1__M__450,M,450,1550,bacteria,0.9907490611076355,0.585060,0.108689,0.049932,0.039459,0.179586,0.037275
NC_138481.1,NC_138481.1__M__400,M,400,1600,bacteria,0.9911432266235352,0.585060,0.108689,0.049932,0.039459,0.179586,0.037275
NC_138481.1,NC_138481.1__M__350,M,350,1650,bacteria,0.9995255470275879,0.585060,0.108689,0.049932,0.039459,0.179586,0.037275
NC_138481.1,NC_138481.1__M__300,M,300,1700,bacteria,0.9998383522033691,0.585060,0.108689,0.049932,0.039459,0.179586,0.037275
NC_138481.1,NC_138481.1__M__250,M,250,1750,bacteria,0.9998934268951416,0.585060,0.108689,0.049932,0.039459,0.179586,0.037275
NC_138481.1,NC_138481.1__M__200,M,200,1800,bacteria,0.9999029636383057,0.585060,0.108689,0.049932,0.039459,0.179586,0.037275
NC_138481.1,NC_138481.1__M__150,M,150,1850,bacteria,0.9999022483825684,0.585060,0.108689,0.049932,0.039459,0.179586,0.037275
NC_138481.1,NC_138481.1__M__100,M,100,1900,bacteria,0.9998874664306641,0.585060,0.108689,0.049932,0.039459,0.179586,0.037275
NC_138481.1,NC_138481.1__M__50,M,50,1950,eukarya,0.9925980567932129,0.078501,0.056715,0.556070,0.115791,0.075945,0.116978
NC_138481.1,NC_138481.1__M__1,M,1,1999,eukarya,0.9937760829925537,0.075346,0.052973,0.577383,0.114316,0.071275,0.108708
NC_137529.1,NC_137529.1__none__0,none,0,2000,eukarya,0.9428442716598511,0.076562,0.060991,0.585207,0.091916,0.071741,0.113583
NC_137529.1,NC_137529.1__M__500,M,500,1500,bacteria,0.9885377883911133,0.585060,0.108689,0.049932,0.039459,0.179586,0.037275
NC_137529.1,NC_137529.1__M__450,M,450,1550,bacteria,0.9877405762672424,0.585060,0.108689,0.049932,0.039459,0.179586,0.037275
NC_137529.1,NC_137529.1__M__400,M,400,1600,bacteria,0.9874739646911621,0.585060,0.108689,0.049932,0.039459,0.179586,0.037275
NC_137529.1,NC_137529.1__M__350,M,350,1650,bacteria,0.9991310238838196,0.585060,0.108689,0.049932,0.039459,0.179586,0.037275
NC_137529.1,NC_137529.1__M__300,M,300,1700,bacteria,0.9991874098777771,0.585060,0.108689,0.049932,0.039459,0.179586,0.037275
NC_137529.1,NC_137529.1__M__250,M,250,1750,bacteria,0.999416708946228,0.585060,0.108689,0.049932,0.039459,0.179586,0.037275
NC_137529.1,NC_137529.1__M__200,M,200,1800,bacteria,0.9995654225349426,0.585060,0.108689,0.049932,0.039459,0.179586,0.037275
NC_137529.1,NC_137529.1__M__150,M,150,1850,bacteria,0.9996091723442078,0.585060,0.108689,0.049932,0.039459,0.179586,0.037275
NC_137529.1,NC_137529.1__M__100,M,100,1900,bacteria,0.9996387958526611,0.585060,0.108689,0.049932,0.039459,0.179586,0.037275
NC_137529.1,NC_137529.1__M__50,M,50,1950,eukarya,0.9416913390159607,0.080176,0.060520,0.556651,0.105719,0.077004,0.119929
NC_137529.1,NC_137529.1__M__1,M,1,1999,eukarya,0.9447414875030518,0.076562,0.060991,0.585207,0.091916,0.071741,0.113583
NC_117365.1,NC_117365.1__none__0,none,0,2000,eukarya,0.993047297000885,0.073523,0.055288,0.575449,0.110573,0.073175,0.111992
NC_117365.1,NC_117365.1__M__500,M,500,1500,bacteria,0.9927482008934021,0.585060,0.108689,0.049932,0.039459,0.179586,0.037275
NC_117365.1,NC_117365.1__M__450,M,450,1550,bacteria,0.992878258228302,0.585060,0.108689,0.049932,0.039459,0.179586,0.037275
NC_117365.1,NC_117365.1__M__400,M,400,1600,bacteria,0.9926309585571289,0.585060,0.108689,0.049932,0.039459,0.179586,0.037275
NC_117365.1,NC_117365.1__M__350,M,350,1650,bacteria,0.9999340772628784,0.585060,0.108689,0.049932,0.039459,0.179586,0.037275
NC_117365.1,NC_117365.1__M__300,M,300,1700,bacteria,0.9999330043792725,0.585060,0.108689,0.049932,0.039459,0.179586,0.037275
NC_117365.1,NC_117365.1__M__250,M,250,1750,bacteria,0.9999334812164307,0.585060,0.108689,0.049932,0.039459,0.179586,0.037275
